Número Documento;Fecha Recepción;cufe;Fecha Emisión;Fecha Vencimiento;Tipo Identificación Adquiriente;Identificación Adquiriente;Nombre Adquiriente; SubTotal;Total Base Imponible;SubTotal Mas Tributos;Total Descuentos; Total Cargos;Total Anticipos;Total;estado;Usuario Creación;Fecha Creación;Descripción Error
CB8216432;2020-09-04 07:46:27.415;8aaee974118057fbbe94d0318a5f78a3785054ab1c8611a60ae4c72f87f8e930d4bfaff2ab5efa0319f8c87b93b5ab35;2020-09-04 00:00:00.0;2020-09-04 00:00:00.0;31;901323312;UNION SALUD AMERICA;97900.00;0.00;97900.00;0.00;0.00;0.00;97900.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:46:27.416;
CB8216431;2020-09-04 07:46:26.469;5fe9c82df90aad6daa2bfdc64bd641d5d53cb8500ba891c32a6052a83834b293d0fbf605175cf599a5745de86ddfe719;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901323312;UNION SALUD AMERICA;772810.00;0.00;772810.00;0.00;0.00;0.00;772810.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:46:26.469;
CB8216430;2020-09-04 07:46:23.17;b540699d6194ed2398d5a1c78d7c9f00026e0c6d6178f6b14e4c893dae0a8e464cde16c2e5a8e2771a036f3ab5e90b9d;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;800003765;VIRREY SOLIS IPS SA;1518090.00;0.00;1518090.00;0.00;0.00;84800.00;1433290.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:46:23.17;
CB8216429;2020-09-04 07:46:17.382;3794e257441797703df798a5d7f57f04a7f99d41905499adbaa7c65108d770f796ea0a6f2ede0b35413ce241e9dabe21;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:46:17.383;
CB8216428;2020-09-04 07:46:16.189;9c295639ea909131644df31f3be469ef8d5eb0d1a34bc940dd320ff3de68ff82cf24c64a8858a06de9ce37c1a17019ee;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:46:16.189;
CB8216427;2020-09-04 07:46:15.384;f6cddefd26cf804df0ef5f34804f89e04cba13910f63621a735d795aeb823db70bd236d1f982151d675191ea599c8b2f;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;800003765;VIRREY SOLIS IPS SA;29040.00;0.00;29040.00;0.00;0.00;29040.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:46:15.385;
CB8216426;2020-09-04 07:46:13.252;d5421ef1aa346ed97ede24870a3ce3e7cf376a5b6f9fb823050b57e67e0280714a0aefc09f3a7c60baee4b3554f2792e;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;800003765;VIRREY SOLIS IPS SA;1907780.00;0.00;1907780.00;0.00;0.00;112000.00;1795780.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:46:13.253;
CB8216425;2020-09-04 07:46:06.977;f2349fbe504248fd09b3835ac966b92228655564b57f0990501b0bc068f327650ff38950bcc9a59ed7b6590a45d3d8d3;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:46:06.977;
CB8216424;2020-09-04 07:46:06.182;7abdfdf4ffd08bd79422487dd485cca898f31f16f19da9979ec8a49b50146427aa3df93405130795d960b5adecf42a43;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:46:06.182;
CB8216423;2020-09-04 07:46:01.925;9febcd93826466cb1e5cf5e64fa0f6944d2faff4f307e0f43c12f5142f32a569c7cea4926c257215c61f075ae6d34659;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:46:01.926;
CB8216422;2020-09-04 07:45:59.652;0a18db907f576cb77ec9b60af4b923e41b5482ff801ea7d5a6754f9345042d0c71ea39d4f1e0956fffc14bd991fcc77a;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;1402087.00;0.00;1402087.00;0.00;0.00;0.00;1402087.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:59.652;
CB8216421;2020-09-04 07:45:53.473;fc5091d6252be57c4bd498311413878bd6e7cd005000b0620f60149979fc6de1b1c2aa054458f7388c3819d820c893a9;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:53.474;
CB8216420;2020-09-04 07:45:49.62;7b168c76ceccd65a29e207b19cda7163882cd6b6a29b9bcc54d71184f4f855fb07bb9acaabc054e3f7d324d364bf4bd3;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;55920.00;0.00;55920.00;0.00;0.00;3400.00;52520.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:49.62;
CB8216419;2020-09-04 07:45:45.389;e94d23f8252d4c4747377f88012eb99e28b3d90069a9c1481d8d0ab43098480c691058a30a2b9ffbfacbbda9fe824fce;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:45.39;
CB8216418;2020-09-04 07:45:43.833;de66045435371e3e5f87d9ee8b7fe1be5440f2dfc8777ea2129c201634a80a19b845298dbfd6377cecb37e80f90a26fc;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901323312;UNION SALUD AMERICA;4401100.00;0.00;4401100.00;0.00;0.00;0.00;4401100.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:43.834;
CB8216417;2020-09-04 07:45:42.611;b15eab28eff8e3bf16a246b11127b4ddf5abcfde94cc78602a434dae6020a92e99ede2746bc018c27fa0ea346a039294;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:42.611;
CB8216416;2020-09-04 07:45:41.739;3ae2e2816e0c38bbc701dc02abe687f12544f9f599deee7146ac2c9a80acdab9582f63378a98a5b2ac94d3bf11c6344c;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:41.74;
CB8216415;2020-09-04 07:45:37.455;0fbc31a768fb9f62b52c55965f12442fcf4a2feca205fb4f191d396fa078e15e59054030c658a4f6a037ea197f782f3b;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;11085.00;0.00;11085.00;0.00;0.00;0.00;11085.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:37.456;
CB8216414;2020-09-04 07:45:35.918;9b4a7ffd6f0d34ca1c1584276f44a29d6b21086920f494bf5cc5e264da46599241945339b37d05cc9475cc7017df29aa;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;860066942;CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR SA;70940.00;0.00;70940.00;0.00;0.00;3400.00;67540.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:35.918;
CB8216413;2020-09-04 07:45:34.708;ebda02cd989ea89f3a8cd877a3f03bd9dbd0d091d84993e96744ba4034283aca0b3985c4eed0796c23d8ffa012ac8edd;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;182425.00;0.00;182425.00;0.00;0.00;0.00;182425.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:34.708;
CB8216407;2020-09-04 07:45:20.23;102ef5b6eb9aa8d6591024e0f9559d23332371369fdb23fe7461347ce9d1711ba64010ed9fcac61a175e12f3cd2183f9;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:20.231;
CB8216406;2020-09-04 07:45:18.437;d5c510cfef95527422cc0afefc82702cead56f4c118b0e1872e6c2fe2f95c58a50351869d951a86792e30bb00b43bf36;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;805000427;COOMEVA ENTIDAD PROMOTORA DE SALUD SA;198740.00;0.00;198740.00;0.00;0.00;22900.00;175840.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:18.437;
CB8216405;2020-09-04 07:45:17.488;9a1ac40e3fd849571031a2ceac14231ac430866a37364559395cbb6dde524786af30022a58bdc7d82a4255673bc56ad2;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;222222222222;PARTICULARES;3870.00;0.00;3870.00;0.00;0.00;3870.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:17.488;
CB8216404;2020-09-04 07:45:13.272;10964784aadfc9fba99176b47a3cfda9819124ffca0c9ceae716964241d795c7aec25625410b00f00fc0d855591b145b;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;21860.00;0.00;21860.00;0.00;0.00;21860.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:13.273;
CB8216403;2020-09-04 07:45:11.917;0ced7037c85e4e60bd0367d5cdc782a15f65bc004165d14ca7652a8d1950e218f23609c1f60f1e3e4cdf872afff41a46;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;860066942;CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR SA;90810.00;0.00;90810.00;0.00;0.00;14100.00;76710.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:11.917;
CB8216402;2020-09-04 07:45:10.707;80d7b99dd878d1d23bb45424a2ad7c0ea60fd27d589754a3ba3f8412cbd91b2995cc6d5e70c43b9db654069ca8f395bb;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;860066942;CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR SA;65000.00;0.00;65000.00;0.00;0.00;3400.00;61600.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:10.707;
CB8216401;2020-09-04 07:45:09.595;3942cbeef8bbc437bd5155b7ecf25a79481a4e36fb1a6c317aee582938a7d1b42262df3e362ec9a1434603ab63bc2838;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;332010.00;0.00;332010.00;0.00;0.00;0.00;332010.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:09.595;
CB8216400;2020-09-04 07:45:07.323;41f53ebc5565ebf0edcdb72563ca6d36c75269d360f582fdb5331920dbe567e8e0082ddf17ae5baecc4e6e2b058efb3c;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;860066942;CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR SA;124270.00;0.00;124270.00;0.00;0.00;3400.00;120870.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:07.323;
CB8216399;2020-09-04 07:45:02.407;98249fae8ce558a234b34b3187bcf632adb8aa9d91a2064fccc264620f0e7843c9d0ec413bd164e8f6fce8f4fa1e0386;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;448731.00;0.00;448731.00;0.00;0.00;0.00;448731.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:02.408;
CB8216398;2020-09-04 07:45:00.378;08b8fa06144ab4aafc8e2a8781193cf46fee20a7fcd0f96d3b049abe3bdd59b00da16005333030cec3f7301e97d275e2;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;16846875.00;0.00;16846875.00;0.00;0.00;0.00;16846875.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:00.379;
CB8216397;2020-09-04 07:44:48.315;0e928f5c5b65f0d7d6d912a8e193560e3336c55200ec43e4fb96bcf2c5e6d160aa0f3f1e14b34b28a2d181505da05e30;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:44:48.315;
CB8216396;2020-09-04 07:44:43.097;64469d491d82d4ea9b9f21c01c77a7833dda75c44c94751e9cc267044f5b4a805041e3ca5be8faf11061d96e3f28bbfe;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;860066942;CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR SA;327820.00;0.00;327820.00;0.00;0.00;0.00;327820.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:44:43.098;
CB8216395;2020-09-04 07:44:41.754;2129a0b3d84e869f5cbdc31469917157da02197a6d434fcdf4dcc6c8d4aaedc9829dd96daa03f6d0c7917259017a4a56;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;860066942;CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR SA;62100.00;0.00;62100.00;0.00;0.00;3400.00;58700.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:44:41.754;
CB8216394;2020-09-04 07:44:40.861;e49ccf1d1c742c1eded3611379ee6b0b9b1edc3733b87c9f3b95519169b4447fddd027b190545c438dcc1e98cbbc8519;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;800130907;SALUD TOTAL EPS SA;611350.00;0.00;611350.00;0.00;0.00;70305.00;541045.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:44:40.861;
CB8216393;2020-09-04 07:44:39.3;695ceb938d0e8f4cffa5cc03701721df61de9b32dc8f888754fc1e870e3a03e4c62caf12ac3feec357fdf09bbf4e044b;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:44:39.301;
CB8216392;2020-09-04 07:44:37.497;48428aebe7a26f1ad10b5e87bf25c4aefcd98fadd0ff8585913a046eb0091647f35ab26bb12d7e2c1070149386b5d0d4;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901323312;UNION SALUD AMERICA;23113.00;0.00;23113.00;0.00;0.00;0.00;23113.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:44:37.497;
CB8216391;2020-09-04 07:44:36.027;b3863ed0dcf05f71d656f3810f29668d8dbae58f24da9b5bb08dd785002ed85743bdc1251a6087aae0cc3bef9baad96c;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;860066942;CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR SA;65000.00;0.00;65000.00;0.00;0.00;0.00;65000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:44:36.027;
CB8216412;2020-09-04 07:45:33.15;07e957bd73c25a1667d5ef9a0f2295f9c459498db63694623b8b99cfcb95e98a2073ac7b3968c61e2ed94682387c09c7;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;3000.00;0.00;3000.00;0.00;0.00;3000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:33.151;
CB8216411;2020-09-04 07:45:29.235;d99f20640d302ee312fdd5593207789c2db9e859d1e292b36becae4eb5acaf734fe7d1c223c950a10c5f38ab259ed4d7;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901323312;UNION SALUD AMERICA;3001983.00;0.00;3001983.00;0.00;0.00;0.00;3001983.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:29.235;
CB8216410;2020-09-04 07:45:24.995;8925972803aa9db2de9d0bc3241fd485d477baee33c850cc3f2c37281d872c51dd2ea799625495a1d2d5670d619ce6a2;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;860066942;CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR SA;46740.00;0.00;46740.00;0.00;0.00;3400.00;43340.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:24.995;
CB8216409;2020-09-04 07:45:23.538;7aabab1b9f048dad7e61003ecebd28d599c638d15b895d9c8d1a36e53a6dd6c6768da524a6c44c09853454c24b0613f7;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;860066942;CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR SA;167610.00;0.00;167610.00;0.00;0.00;3400.00;164210.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:23.538;
CB8216408;2020-09-04 07:45:22.381;74e5c5073e685085b1f2c1ce48a46b09df6571bd313ecf00f456dfe01b7db00f4297475ff1dda28109518142777b49bf;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;222222222222;PARTICULARES;5000.00;0.00;5000.00;0.00;0.00;5000.00;0.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-04 07:45:22.382;
CC4210446;2020-09-03 22:41:36.417;7174b31064a9959b941bc5bc29a0ae30f02457045d87c5c9715941d1632ee8b845a67da225a8f69c3efcfc128921ba0a;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;1804120.00;0.00;1804120.00;0.00;0.00;0.00;1804120.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:36.417;
CC4210455;2020-09-03 22:41:46.159;2024ea93a91dedf9588f551d99336fc84d66be90c95f6391e83d1315caef9d6ee6a6b93a8c1d172075521bb45d8fd882;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;817001773;ASOCIACION INDÍGENA DEL CAUCA;234100.00;0.00;234100.00;0.00;0.00;0.00;234100.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:46.159;
CC4210454;2020-09-03 22:41:45.255;fdb9afd8fc049fe24e515ef0eb4a3d9d84a78ecd084808a45da115d3b7a012b22fd9fc9f677c063301a966285a0b2da4;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;817001773;ASOCIACION INDÍGENA DEL CAUCA;7326681.00;0.00;7326681.00;0.00;0.00;0.00;7326681.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:45.255;
CC4210451;2020-09-03 22:41:41.116;c2e72b6748ef70858589d80b9602d5d25f1e73502e699331ea162e357bb107fcce0ed6285c37f1b442d438c9160ebf4d;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901021565;EMSSANAR SAS;2557408.00;0.00;2557408.00;0.00;0.00;0.00;2557408.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:41.117;
CC4210450;2020-09-03 22:41:39.984;60af400e9e79c2775edc226330de2e916606a25b53338ab805bca2a505a02f1dbb9dfd126a4a8f26406a1838916a7e01;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901021565;EMSSANAR SAS;1895638.00;0.00;1895638.00;0.00;0.00;0.00;1895638.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:39.984;
CC4210449;2020-09-03 22:41:38.751;9c94fe4907cb6d265d46ac0a163d14a59550d3803e97c4b04728bbf1bed9b211970da6839ef07d89b6c888a388c0b630;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;900669258;UT VIVA 1A SEDE CALI;50000.00;0.00;50000.00;0.00;0.00;0.00;50000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:38.751;
CC4210448;2020-09-03 22:41:37.953;5e69fc4867f6aec6691f4a30d78d928a54988fd1ac42868bf3af1d423c276612937f101cf07410880f09dae357de5dda;2020-09-03 00:00:00.0;2020-10-03 00:00:00.0;31;900669258;UT VIVA 1A SEDE CALI;17087.00;0.00;17087.00;0.00;0.00;3400.00;13687.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:37.953;
CC4210447;2020-09-03 22:41:37.189;a1c5cce4fd8dba225741114afd62251f8c060b71a1bc6e049c839e53b4325b6d6e7521256896adbb6d643d3f772fb463;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;900935126;ASMET SALUD EPS SAS;260000.00;0.00;260000.00;0.00;0.00;0.00;260000.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:37.19;
CC4210440;2020-09-03 22:41:31.007;d8fa58b9820e9550cba3c0fb60b7dcdb5fb8648aa87583bf2cccd0ce31d50e4da961dbd1541ff136a916d8513487c575;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;901021565;EMSSANAR SAS;120100.00;0.00;120100.00;0.00;0.00;0.00;120100.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:31.007;
CC4210445;2020-09-03 22:41:34.916;5d911886fd1403a8b4af5f50d729b2f00b73d628467abe69396776e18d7004106ffd7fe60fb0125e99afed63d328dce3;2020-09-03 00:00:00.0;2020-09-03 00:00:00.0;31;805000427;COOMEVA EPS SA;109200.00;0.00;109200.00;0.00;0.00;0.00;109200.00;Éxito en la Notificación del Adquiriente;F0001CNUESTRA                                     ;2020-09-03 22:41:34.917;
